기간,지역,월별,발생합계,발생 실화,발생 방화,발생기타,소실 동수(동),소실 이재가구수(가구),소실 면적(㎡),부동산 피해액,동산 피해액,재산피해경감액,사망자,부상자,이재민수,구조인원
2019,강남구,5월,38,37,-,1,7,-,248,"68,897","27,066","3,903,782",-,4,-,1
2019,강남구,6월,48,47,-,1,14,-,150,"81,537","78,563","17,509,917",-,1,-,-
2019,강남구,7월,46,42,1,3,10,-,209,"87,627","128,869","8,817,748",-,3,-,1
2019,강남구,8월,31,29,-,2,3,-,30,"31,660","19,755","5,308,674",-,1,-,-
2019,강남구,9월,28,28,-,-,3,-,68,"36,038","27,474","3,709,084",-,1,-,-
2019,강남구,10월,30,28,-,2,9,-,116,"69,694","65,538","4,259,992",-,2,-,6
2019,강남구,11월,29,26,-,3,6,34,363,"178,199","78,824","4,839,941",-,1,34,2
2019,강남구,12월,35,34,-,1,6,-,107,"97,555","46,569","3,265,233",-,-,-,8
2019,송파구,계,335,313,4,18,84,2,947.43,"330,243","628,586","13,913,616",2,19,2,64
2019,송파구,1월,40,39,-,1,6,-,109,"6,022","13,981","1,340,311",-,-,-,9
2019,송파구,2월,17,13,-,4,9,1,227,"65,412","89,241","3,787,724",-,4,1,24
2019,송파구,3월,31,26,1,4,13,-,31,"10,717","11,639","1,328,909",-,2,-,8
2019,송파구,4월,27,26,1,1,4,-,23,"5,076","24,140","204,313",-,-,-,2
2019,송파구,5월,34,33,-,1,10,1,32,"18,614","26,052","2,623,115",-,-,1,5
2019,송파구,6월,23,23,-,-,4,-,75,"19,634","22,154","869,790",-,1,-,1
2019,송파구,7월,30,29,-,1,6,-,14,"3,354","4,210","398,141",-,-,-,-
2019,송파구,8월,34,32,-,2,7,-,36.7,"12,862","7,723","601,614",-,-,-,1
2019,송파구,9월,29,27,1,1,4,-,13,"12,701","26,028","839,038",1,3,-,4
2019,송파구,10월,25,24,-,1,5,-,265,"128,251","367,283","1,352,398",-,5,-,3
2019,송파구,11월,21,19,1,1,5,-,23.73,"26,736","10,810","240,282",1,4,-,6
2019,송파구,12월,24,22,-,2,11,-,98,"20,864","25,325","327,981",-,-,-,1
2019,강동구,계,254,233,5,16,26,1,999,"166,909","366,450","3,698,442",1,10,1,68
2019,강동구,1월,29,27,-,2,3,1,32,"23,383","36,715","234,457",1,-,1,26
2019,강동구,2월,13,12,1,-,2,-,7,470,"1,669","74,229",-,-,-,2
2019,강동구,3월,15,15,-,-,2,-,1,"9,759","23,868","113,529",-,-,-,1
2019,강동구,4월,23,22,-,1,1,-,371,"2,515","5,516","29,405",-,-,-,7
2019,강동구,5월,31,26,3,2,6,-,169,"37,199","72,394","429,361",-,6,-,11
2019,강동구,6월,19,19,-,-,2,-,70,"32,674","49,332","447,221",-,-,-,17
2019,강동구,7월,21,21,-,-,2,-,26,"6,795","9,368","238,980",-,-,-,-
2019,강동구,8월,29,27,-,2,3,-,156,"15,910","62,717","582,465",-,-,-,3
2019,강동구,9월,21,19,-,2,1,-,20,"1,012","17,290","17,637",-,1,-,1
2019,강동구,10월,20,18,-,2,1,-,1,"1,353","64,141","1,233,925",-,3,-,-
2019,강동구,11월,17,15,1,1,-,-,2,885,"2,047","176,811",-,-,-,-
2019,강동구,12월,16,12,-,4,3,-,144,"34,954","21,393","120,422",-,-,-,-
